ID,category,spanish,korean,quiz,answer,level
1,ser,Yo soy profesora.,나는 선생님이다.,Yo (      ) profesora.,soy,하
2,ser,Tú eres muy amable.,너는 매우 친절하다.,Tú ( ) muy amable.,eres,하
3,ser,Él es estudiante de español.,그는 스페인어 학생이다.,Él ( ) estudiante de español.,es,하
4,ser,Ella es de Corea.,그녀는 한국 출신이다.,Ella ( ) de Corea.,es,하
5,ser,Nosotros somos amigos.,우리는 친구이다.,Nosotros ( ) amigos.,somos,하
6,ser,Vosotros sois muy altos.,너희들은 매우 키가 크다.,Vosotros ( ) muy altos.,sois,하
7,ser,Ellos son médicos.,그들은 의사이다.,Ellos ( ) médicos.,son,하
8,ser,María es mi hermana.,마리아는 나의 여동생이다.,María ( ) mi hermana.,es,하
9,ser,Juan y Pedro son compañeros de clase.,후안과 페드로는 같은 반 친구이다.,Juan y Pedro ( ) compañeros de clase.,son,하
10,ser,Yo soy de Seúl.,나는 서울 출신이다.,Yo ( ) de Seúl.,soy,하
11,ser,Tú eres muy inteligente.,너는 매우 똑똑하다.,Tú ( ) muy inteligente.,eres,하
12,ser,Hoy es el 17 de abril.,오늘은 4월 17일이다.,Hoy ( ) el 17 de abril.,es,하
13,ser,Nosotros somos coreanos.,우리는 한국인이다.,Nosotros ( ) coreanos.,somos,하
14,ser,Ella es muy simpática.,그녀는 매우 상냥하다.,Ella ( ) muy simpática.,es,하
15,ser,Ellas son estudiantes.,그녀들은 학생이다.,Ellas ( ) estudiantes.,son,하
16,ser,Tú eres mi mejor amigo.,너는 나의 가장 친한 친구이다.,Tú ( ) mi mejor amigo.,eres,하
17,ser,Anita es profesora de inglés.,아나는 영어 선생님이다.,Anita ( ) profesora de inglés.,es,하
18,ser,Ellos son muy trabajadores.,그들은 매우 성실하다.,Ellos ( ) muy trabajadores.,son,하
19,ser,Él es mi profesor.,그는 나의 선생님이다.,Él ( ) mi profesor.,es,하
20,ser,Yo soy italiano.,나는 이탈리아 사람이다.,Yo ( ) italiano.,soy,하
21,ser,Tú eres muy guapo.,너는 매우 잘생겼다.,Tú ( ) muy guapo.,eres,하
22,ser,Juan es inteligente.,후안은 똑똑하다.,Juan ( ) inteligente.,es,하
23,ser,La tierra es un planeta.,지구는 행성이다.,La tierra ( ) un planeta.,es,하
24,ser,María es doctora.,마리아는 의사이다.,María ( ) doctora.,es,하
25,ser,Vosotros sois de España.,너희들은 스페인 출신이다.,Vosotros ( ) de España.,sois,하
26,ser,Ana y Mario son de México.,아나와 마리오는 멕시코 출신이다.,Ana y Mario ( ) de México.,son,하
27,ser,Yo soy su mejor amigo.,나는 그의 가장 친한 친구이다.,Yo ( ) su mejor amigo.,soy,하
28,ser,¿Tú eres arquitecto?,너는 건축가니?,¿Tú ( ) arquitecto?,eres,하
29,ser,Ella es alta y hermosa.,그녀는 키가 크고 아름답다.,Ella ( ) alta y hermosa.,es,하
30,ser,Son las doce y veinte.,12시 20분이다.,( ) las doce y veinte.,son,하
31,estar,Ustedes están cansados.,여러분은 피곤하다.,Ustedes ( ) cansados.,están,하
32,estar,Tú estás ocupado.,너는 바쁘다.,Tú ( ) ocupado.,estás,하
33,estar,Nosotros estamos en el restaurante.,우리는 식당에 있다.,Nosotros ( ) en el restaurante.,estamos,하
34,estar,Ellos están en casa.,그들은 집에 있다.,Ellos ( ) en casa.,están,하
35,estar,Ella está preocupada.,그녀는 걱정하고 있다.,Ella ( ) preocupada.,está,하
36,estar,Yo estoy enfermo.,나는 아프다.,Yo ( ) enfermo.,estoy,하
37,estar,Vosotros estáis ocupados.,너희들은 바쁘다.,Vosotros ( ) ocupados.,estáis,하
38,estar,Ustedes están listos.,여러분은 준비되어 있다.,Ustedes ( ) listos.,están,하
39,estar,Ellas están ocupadas.,그녀들은 바쁘다.,Ellas ( ) ocupadas.,están,하
40,estar,Tú estás aquí.,너는 여기 있다.,Tú ( ) aquí.,estás,하
41,estar,Yo estoy aquí y tú estás allí.,나는 여기 있고 너는 저기 있다.,Yo ( ) aquí y tú ( ) allí.,"estoy, estás",하
42,estar,Tú estás en la escuela.,너는 학교에 있다.,Tú ( ) en la escuela.,estás,하
43,estar,Él está en el parque.,그는 공원에 있다.,Él ( ) en el parque.,está,하
44,estar,Nosotros estamos en clase.,우리는 수업 중이다.,Nosotros ( ) en clase.,estamos,하
45,estar,Ella está en la tienda.,그녀는 가게에 있다.,Ella ( ) en la tienda.,está,하
46,estar,Ellos están en el gimnasio.,그들은 헬스장에 있다.,Ellos ( ) en el gimnasio.,están,하
47,estar,Ella está en la biblioteca.,그녀는 도서관에 있다.,Ella ( ) en la biblioteca.,está,하
48,estar,Ellas están felices.,그녀들은 행복하다.,Ellas ( ) felices.,están,하
49,estar,Tú estás contento.,너는 기쁘다.,Tú ( ) contento.,estás,하
50,estar,Nosotros estamos cansados.,우리는 피곤하다.,Nosotros ( ) cansados.,estamos,하
51,estar,Ellos están nerviosos.,그들은 긴장하고 있다.,Ellos ( ) nerviosos.,están,하
52,estar,Vosotras estáis contentas.,너희들(여성)은 기쁘다.,Vosotras ( ) contentas.,estáis,하
53,estar,Él está tranquilo.,그는 차분하다.,Él ( ) tranquilo.,está,하
54,estar,Nosotros estamos listas.,우리는 준비되어 있다(여성형).,Nosotros ( ) listas.,estamos,하
55,estar,Ella está en la oficina.,그녀는 사무실에 있다.,Ella ( ) en la oficina.,está,하
56,estar,Vosotros estáis en Madrid.,너희들은 마드리드에 있다.,Vosotros ( ) en Madrid.,estáis,하
57,estar,Pedro está en el hospital.,페드로는 병원에 있다.,Pedro ( ) en el hospital.,está,하
58,estar,Tú estás en la clase de español.,너는 스페인어 수업에 있다.,Tú ( ) en la clase de español.,estás,하
